popularity,vote_count_x,vote_average_x,release_date,original_language_x,genre_ids,belongs_to_collection,budget,production_companies,production_countries,revenue,day_of_week,month,quarter,en_int_lang,collection
82.25,16683.0,8.3,2018-04-25,en,Adventure|Action|Science Fiction|,The Avengers Collection,300000000.0,Marvel Studios,US,2046239637.0,2,4,2,en,Collection
38.895,14192.0,7.4,2018-02-13,en,Adventure|Fantasy|Action|Science Fiction|,Black Panther Collection,200000000.0,Marvel Studios,US,1346739107.0,1,2,1,en,Collection
31.956999999999997,6878.0,6.5,2018-06-06,en,Adventure|Action|Science Fiction|,Jurassic Park Collection,170000000.0,Amblin Entertainment,US,1303459585.0,2,6,2,en,Collection
30.430999999999997,7607.0,7.5,2018-06-14,en,Adventure|Animation|Action|Family|,The Incredibles Collection,200000000.0,Walt Disney Pictures,US,1241891456.0,3,6,2,en,Collection
31.991,7849.0,6.8,2018-12-07,en,Adventure|Fantasy|Action|,Aquaman Collection,160000000.0,DC Comics,AU,1143689193.0,4,12,4,en,Collection
0.618,0.0,0.0,2018-04-24,en,Drama|Action|Comedy|Documentary|,na,0.0,"Walid Motion Pictures Co., Ltd",EG,1000000000.0,1,4,2,en,Collection
40.731,9859.0,8.0,2018-10-24,en,Drama|Music|,na,52000000.0,GK Films,GB,894027543.0,2,10,4,en,Collection
56.386,7898.0,6.6,2018-09-28,en,Action|Science Fiction|,Venom Collection,116000000.0,Avi Arad Productions,CN,855013954.0,4,9,3,en,Collection
27.848000000000003,4590.0,7.3,2018-07-13,en,Adventure|Action|,Mission: Impossible Collection,178000000.0,Paramount,CN,791017452.0,4,7,3,en,Collection
38.684,10359.0,7.5,2018-05-10,en,Adventure|Action|Comedy|,Deadpool Collection,110000000.0,Marvel Entertainment,US,741547413.0,3,5,2,en,Collection
32.45,6083.0,6.8,2018-11-14,en,Adventure|Fantasy|Family|,Fantastic Beasts Collection,200000000.0,Warner Bros. Pictures,GB,653355901.0,2,11,4,en,Collection
